time,x,y,s,dis,dir,event,nflId,displayName,jerseyNumber,team,frame.id,gameId,playId
Q1-14:48,28.50,6.20,NA,0.0,NA,tackle,819,Donovan Peoples-Jones,9,Michigan Wolverines,18,117,1111
Q1-14:54,25.50,38.70,NA,0.0,NA,snap,820,Grant Perry,88,Michigan Wolverines,1,117,1111
Q1-14:54,26.00,38.40,NA,-0.3,NA,,820,Grant Perry,88,Michigan Wolverines,2,117,1111
Q1-14:53,28.10,38.40,NA,0.0,NA,,820,Grant Perry,88,Michigan Wolverines,3,117,1111
Q1-14:53,31.30,38.00,NA,-0.4,NA,,820,Grant Perry,88,Michigan Wolverines,4,117,1111
Q1-14:52,35.10,37.40,NA,-0.6,NA,,820,Grant Perry,88,Michigan Wolverines,5,117,1111
Q1-14:52,36.05,37.50,NA,0.1,NA,throw,820,Grant Perry,88,Michigan Wolverines,6,117,1111
Q1-14:52,37.00,37.60,NA,0.1,NA,,820,Grant Perry,88,Michigan Wolverines,7,117,1111
Q1-14:51,36.70,38.50,NA,0.9,NA,,820,Grant Perry,88,Michigan Wolverines,8,117,1111
Q1-14:51,36.40,38.30,NA,-0.2,NA,pass_outcome_complete,820,Grant Perry,88,Michigan Wolverines,9,117,1111
Q1-14:51,36.10,38.10,NA,-0.2,NA,,820,Grant Perry,88,Michigan Wolverines,10,117,1111
Q1-14:51,35.80,37.90,NA,-0.2,NA,,820,Grant Perry,88,Michigan Wolverines,11,117,1111
Q1-14:50,35.10,37.00,NA,-0.9,NA,,820,Grant Perry,88,Michigan Wolverines,12,117,1111
Q1-14:50,35.30,35.30,NA,-1.7,NA,,820,Grant Perry,88,Michigan Wolverines,13,117,1111
Q1-14:49,35.50,34.10,NA,-1.2,NA,,820,Grant Perry,88,Michigan Wolverines,14,117,1111
Q1-14:49,35.90,32.50,NA,-1.6,NA,,820,Grant Perry,88,Michigan Wolverines,15,117,1111
Q1-14:48,36.00,30.90,NA,-1.6,NA,,820,Grant Perry,88,Michigan Wolverines,16,117,1111
Q1-14:48,36.00,29.40,NA,-1.5,NA,,820,Grant Perry,88,Michigan Wolverines,17,117,1111
Q1-14:48,36.00,29.00,NA,-0.4,NA,tackle,820,Grant Perry,88,Michigan Wolverines,18,117,1111
Q1-14:54,25.40,18.80,NA,0.0,NA,snap,821,Zach Gentry,83,Michigan Wolverines,1,117,1111
Q1-14:54,25.90,18.60,NA,-0.2,NA,,821,Zach Gentry,83,Michigan Wolverines,2,117,1111
Q1-14:53,28.00,18.60,NA,0.0,NA,,821,Zach Gentry,83,Michigan Wolverines,3,117,1111
Q1-14:53,30.30,20.10,NA,1.5,NA,,821,Zach Gentry,83,Michigan Wolverines,4,117,1111
Q1-14:52,33.40,21.40,NA,1.3,NA,,821,Zach Gentry,83,Michigan Wolverines,5,117,1111
